# File used : 52967538-6671-C748-9CEC-C21D276D640B.root


Event Number : 0
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
   3     25      22        4481                  0   1.3672 125.000  -0.0115 16.75000
   4    -24      44         257                  2  -0.8789  80.500   2.6250 18.31250
   5     25      44         257                  3   1.2031 125.000   0.4502 19.43750
   6    -24      44         257                  4  -1.0469  80.500   2.5078 15.25000
   7     25      44         257                  5   1.0859 125.000   0.3789 22.68750
   8    -24      44         257                  6  -1.0547  80.500   2.6641 14.71875
   9     25      44         257                  7   1.2383 125.000   0.1543 19.43750
  10    -24      44         257                  8  -1.0391  80.500   2.6562 15.03125
  11     25      44         257                  9   1.2461 125.000   0.1665 19.25000
  12    -24      44         257                 10  -1.0234  80.500   2.6875 15.34375
  13     25      44         257                 11   1.3086 125.000   0.1367 17.93750
  14    -24      62       10497                 12  -1.0547  80.500   2.7188 14.65625
  15     25      62       10497                 13   1.2656 125.000   0.0435 18.81250
  16     11       1       12673                 14   0.3711   0.000   0.9902 32.75000
  17    -12       1       12673                 14  -0.7441   0.000  -2.5391 37.87500
  18     35      22       14721                 15  -0.5547  20.000  -0.1743 49.00000
  19     35      22       31105                 15   1.4062  20.000   2.8359 30.93750
  20      5      23       12673                 18  -0.5273   0.000  -0.1238 47.12500
  21     -5      23       12673                 18  -0.7656   0.000  -1.0352 3.12500
  22     22       1       12673                 19   1.2461   0.000   2.9219 33.25000
  23     22       1       12673                 19   1.3477   0.000   0.5840 3.53906
  24   -521       2       12291                 20  -0.5293   5.281  -0.1226 44.87500
  25    523       2       28675                 20  -0.7695   5.328  -0.8184 3.70312
  26      1      71        8193                 -1  -4.5781   0.000   2.8984 18.87500
  27   -413       2       12354                 24  -0.5273   2.008  -0.0996 13.40625
  28    413       2       12354                 24  -0.4980   2.008  -0.1218 23.87500
  29    521       2       12354                 25  -0.7578   5.281  -0.8125 3.67969
  30   -421       2       12354                 27  -0.5273   0.000  -0.1018 12.56250
  31    421       2       12354                 28  -0.4980   0.000  -0.1235 22.00000
  32   -423       2       12354                 29  -0.6680   2.008   0.9316 1.00391
  33   -421       2       12354                 32  -0.6816   0.000   0.9316 0.88672

Event Number : 7
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -2      21       14721                 -1 22784.0000   0.000   0.0000 0.00000
   1      1      21       10625                 -1 -23424.0000   0.000   0.0000 0.00000
   2    -24      22        4481                  0  -2.4766  78.000  -1.9570 56.62500
   3     25      22        4481                  0  -2.3047 125.000   1.1836 56.62500
   4    -24      44         257                  2  -2.4844  78.000  -1.9219 54.75000
   5     25      44         257                  3  -2.2578 125.000   1.1094 61.12500
   6    -24      44         257                  4  -2.5156  78.000  -1.9023 52.87500
   7     25      44         257                  5  -2.2266 125.000   1.0977 63.00000
   8    -24      44         257                  6  -2.5156  78.000  -1.8984 53.00000
   9     25      44         257                  7  -2.2266 125.000   1.0898 62.62500
  10    -24      62       10497                  8  -2.5156  78.000  -1.9102 53.12500
  11     25      62       10497                  9  -2.2344 125.000   1.1016 62.37500
  12     11      23       22913                 10  -2.7656   0.000  -2.0625 40.87500
  13    -12      23        4481                 10  -0.2715   0.000  -1.4531 14.18750
  14     11       1        8449                 12  -2.7656   0.000  -2.0547 32.12500
  15     22       1       12289                 12  -2.7500   0.000  -2.0781 8.71875
  16    -12       1        8449                 13  -0.2715   0.000  -1.4531 14.18750
  17     35      22       14721                 11  -2.0312  20.000   1.0977 76.25000
  18     35      22       31105                 11  -0.2202  20.000  -2.0547 13.81250
  19      5      23       12673                 17  -1.8086   0.000   0.9277 33.50000
  20     -5      23       12673                 17  -2.1562   0.000   1.2266 43.50000
  21     22       1       12673                 18   0.0874   0.000  -1.9531 18.00000
  22     22       1       12673                 18  -0.9062   0.000   1.5117 4.48438
  23   -523       2       28675                 19  -1.8359   5.328   0.9434 29.75000
  24    511       2       12291                 19  -2.1406   5.281   1.2188 36.87500
  25      2      71        8193                 -1  -1.1250   0.000  -1.8633 1.10938
  26   2203      71        8193                 -1  -8.7500   0.771   0.1199 0.43750
  27      2      71        8193                 -1   6.1406   0.000  -0.8906 0.52539
  28     -2      71        8193                 -1  -8.2500   0.000  -0.0125 0.42285
  29      2      71        8193                 -1   1.6758   0.000  -2.6484 8.34375
  30     -1      71        8193                 -1  -7.8750   0.000  -0.1558 0.56250
  31   -521       2       12354                 23  -1.8359   5.281   0.9453 29.43750
  32     14       1       12352                 24  -2.2266   0.000   1.2617 15.09375
  33    -13       1       12352                 24  -2.0078   0.000   1.3477 5.46875
  34   -413       2       12354                 24  -2.0938   2.008   1.1328 16.37500
  35     11       1       12352                 25  -1.9023   0.000  -0.5762 0.20312
  36    -11       1       12352                 25  -1.8359   0.000  -0.5488 0.28125
  37     11       1       12352                 29   0.6680   0.000   1.8281 0.00446
  38    -11       1       12352                 29   0.4619   0.000   2.4688 0.08789
  39    -12       1       12352                 31  -1.7461   0.000   0.9199 8.50000
  40     11       1       12352                 31  -1.7500   0.000   1.1992 4.50000
  41   -411       2       12354                 34  -2.0938   0.000   1.1328 15.53125
  42     11       1       12352                 27   1.3086   0.000   2.2500 0.00314
  43    -11       1       12352                 27   2.7734   0.000  -2.6953 0.04663
  44    423       2       12354                 31  -1.9336   2.008   0.8477 10.78125
  45    421       2       12354                 44  -1.9336   0.000   0.8477 9.81250

Event Number : 8
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      1      21       10625                 -1 23040.0000   0.000   0.0000 0.00000
   1     -2      21       10625                 -1 -22784.0000   0.000   0.0000 0.00000
   2    -24      22        4481                  0   1.1172  81.000  -2.5391 42.25000
   3     25      22        4481                  0   2.3047 125.000   0.6055 42.25000
   4    -24      44         257                  2   1.1016  81.000  -2.9531 38.00000
   5     25      44         257                  3   2.1562 125.000   0.8418 49.37500
   6    -24      44         257                  4   1.1133  81.000  -2.8516 38.87500
   7     25      44         257                  5   2.3516 125.000   0.6523 41.50000
   8    -24      44         257                  6   1.0742  81.000  -2.8516 40.87500
   9     25      44         257                  7   2.5078 125.000   0.7012 35.87500
  10    -24      44         257                  8   1.0703  81.000  -2.8438 41.12500
  11     25      44         257                  9   2.5391 125.000   0.6855 34.75000
  12    -24      62       10497                 10   1.0664  81.000  -2.8281 41.25000
  13     25      62       10497                 11   2.5547 125.000   0.6836 34.12500
  14     11      23       22913                 12   0.6250   0.000  -1.6211 43.00000
  15    -12      23        4481                 12   0.4834   0.000   2.4531 47.75000
  16     11       1        8449                 14   0.6250   0.000  -1.6211 43.00000
  17     22       1       12289                 14   0.8809   0.000  -0.7715 0.00309
  18    -12       1        8449                 15   0.4834   0.000   2.4531 47.75000
  19     35      22       14721                 13   0.6035  20.000   2.0391 44.62500
  20     35      22       31105                 13   2.0391  20.000  -0.3721 50.00000
  21      5      23        4481                 19   0.2588   0.000   1.5859 14.50000
  22     -5      23       22913                 19   0.7090   0.000   2.2422 32.25000
  23     22       1       12673                 20   2.4219   0.000   0.3135 9.65625
  24     22       1       12673                 20   1.8672   0.000  -0.5156 43.00000
  25      5      71        8449                 21   0.2764   0.000   1.6055 13.34375
  26     -5      71        8449                 22   0.7832   0.000   2.1797 23.81250
  27   -533       2       28675                 22   0.3252   5.422   1.6875 12.68750
  28    513       2       28675                 22   0.7441   5.328   2.2031 23.75000
  29     21      71        8193                 -1  -0.6035   0.000  -1.5352 21.68750
  30   -531       2       12354                 27   0.3271   5.359   1.6914 12.53125
  31    511       2       12354                 28   0.7441   5.281   2.2031 23.68750
  32    433       2       28738                 30   0.3135   2.109   1.7969 5.45312
  33    423       2       12354                 31   0.7695   2.008   2.2188 7.75000
  34   -421       2       12354                 31   0.7578   0.000   2.1953 10.75000
  35    431       2       12354                 32   0.3027   1.969   1.7734 4.95312
  36    421       2       12354                 33   0.7734   0.000   2.2188 7.04688
  37     13       1       12352                 34   0.8164   0.000   1.9688 1.52734
  38    -14       1       12352                 34   0.5547   0.000   2.4531 1.23047

Event Number : 9
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -1      21       10625                 -1 22784.0000   0.000   0.0000 0.00000
   1      2      21       10625                 -1 -23488.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0  -1.8984  80.250   0.4170 107.75000
   3     25      22        4481                  0  -1.9258 125.000  -2.7266 107.75000
   4     24      44         257                  2  -1.8398  80.250   0.4971 112.75000
   5     25      44         257                  3  -1.8555 125.000  -2.8516 101.75000
   6     24      44         257                  4  -1.8438  80.250   0.4932 114.00000
   7     25      44         257                  5  -1.8594 125.000  -2.8516 99.75000
   8     24      62       10497                  6  -1.8438  80.250   0.4922 114.25000
   9     25      62       10497                  7  -1.8594 125.000  -2.8516 99.50000
  10    -15      23       22913                  8  -0.9121   0.000   0.2207 45.87500
  11     16      23        4481                  8  -2.1641   0.000   0.6660 71.00000
  12    -15       2        8451                 10  -0.9121   0.000   0.2207 45.87500
  13     22       1       12289                 10  -0.7383   0.000   0.4316 0.00000
  14     16       1        8449                 11  -2.1641   0.000   0.6660 71.00000
  15     35      22       14721                  9  -0.0573  20.000   2.2969 14.68750
  16     35      22       31105                  9  -1.9062  20.000  -2.7109 94.25000
  17      5      23       12673                 15   1.3828   0.000   1.0469 3.32812
  18     -5      23       12673                 15  -0.4844   0.000   2.5234 14.00000
  19     22       1       12673                 16  -1.9609   0.000  -2.4219 31.68750
  20     22       1       12673                 16  -1.8477   0.000  -2.8516 64.50000
  21   -523       2       28675                 -1  -4.4688   5.328   1.3789 6.01562
  22   -531       2       12291                 17   1.3008   5.359   1.0781 3.16406
  23    513       2       28675                 17  -0.4863   5.328   2.5156 13.00000
  24      2      71        8193                 -1   3.6562   0.000  -2.3359 1.12500
  25     -2      71        8193                 -1  -7.1562   0.000  -2.0234 0.28711
  26    521       2       12291                 -1  -3.2891   5.281  -2.9844 6.81250
  27      2      71        8193                 -1  -7.9844   0.000  -1.8672 0.72656
  28     21      71        8193                 -1   4.3750   0.000   1.8164 6.50000
  29      1      71        8193                 -1   3.7344   0.000   2.9141 0.17188
  30      1      71        8193                 -1  -4.7656   0.000   0.6523 1.19141
  31    -16       1       13884                 12  -0.9043   0.000   0.2734 12.96875
  32    111       2       30270                 12  -0.9199   0.000   0.1938 27.62500
  33    211       1       13884                 12  -0.8809   0.000   0.2305 5.29688
  34   -521       2       12354                 21  -4.4688   5.281   1.3828 5.93750
  35   -431       2       12354                 22   2.1016   1.969   0.5098 0.63281
  36    411       2       12354                 22   0.9414   0.000   1.2031 2.12500
  37    511       2       12354                 23  -0.4834   5.281   2.5156 12.84375
  38   -423       2       12354                 26  -3.5703   2.008  -2.8984 3.26562
  39     13      91       20544                 27   5.7656   0.000   0.2871 0.41699
  40    -13      91        4160                 27   4.6719   0.000  -0.6543 0.82031
  41     13       1        8256                 39   5.7656   0.000   0.2871 0.41699
