
Event 0
    g [21] (status=71) pt=85.75, eta=-1.41, phi=-1.88, mass=0.00
    pi0 [111] (status=2) pt=23.06, eta=-1.52, phi=-1.79, mass=0.00
      e- [11] (status=1) pt=1.27, eta=-1.52, phi=-1.79, mass=0.00
      e+ [-11] (status=1) pt=11.91, eta=-1.52, phi=-1.79, mass=0.00

Event 4
g [21] (status=21) pt=0.00, eta=23488.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=52.88, eta=2.59, phi=-1.73, mass=125.00
    H0 [25] (status=44) pt=58.62, eta=2.51, phi=-1.45, mass=125.00
      H0 [25] (status=44) pt=58.12, eta=2.52, phi=-1.42, mass=125.00
        H0 [25] (status=44) pt=58.00, eta=2.52, phi=-1.36, mass=125.00
          H0 [25] (status=44) pt=57.75, eta=2.52, phi=-1.36, mass=125.00
            H0 [25] (status=62) pt=58.88, eta=2.50, phi=-1.34, mass=125.00
              35 [35] (status=22) pt=36.00, eta=2.55, phi=-1.43, mass=60.00
                gamma [22] (status=1) pt=39.50, eta=1.55, phi=-0.79, mass=0.00
                gamma [22] (status=1) pt=23.94, eta=2.48, phi=-2.82, mass=0.00
              35 [35] (status=22) pt=23.25, eta=2.40, phi=-1.20, mass=60.00
                b [5] (status=23) pt=24.00, eta=1.55, phi=0.77, mass=0.00
                  B*+ [523] (status=2) pt=35.25, eta=1.37, phi=-1.80, mass=5.33
                    B+ [521] (status=2) pt=35.00, eta=1.37, phi=-1.80, mass=5.28
                      D~0 [-421] (status=2) pt=27.56, eta=1.39, phi=-1.85, mass=0.00
                        pi0 [111] (status=2) pt=12.66, eta=1.41, phi=-1.85, mass=0.00
                          gamma [22] (status=1) pt=10.44, eta=1.41, phi=-1.85, mass=0.00
                  b [5] (status=71) pt=18.94, eta=1.66, phi=0.73, mass=0.00
                  B- [-521] (status=2) pt=16.12, eta=1.65, phi=0.77, mass=5.28
                    D0 [421] (status=2) pt=4.59, eta=1.58, phi=0.79, mass=0.00
                b~ [-5] (status=23) pt=39.38, eta=1.37, phi=-1.79, mass=0.00
                  b~ [-5] (status=71) pt=36.00, eta=1.37, phi=-1.80, mass=0.00
  g [21] (status=23) pt=52.88, eta=2.57, phi=1.41, mass=0.00
    g [21] (status=71) pt=3.32, eta=2.08, phi=-1.15, mass=0.00
    g [21] (status=71) pt=10.47, eta=1.97, phi=-0.99, mass=0.00
    g [21] (status=71) pt=2.53, eta=1.52, phi=-1.23, mass=0.00
    g [21] (status=71) pt=1.48, eta=1.57, phi=0.98, mass=0.00
    g [21] (status=71) pt=2.20, eta=2.16, phi=1.64, mass=0.00
    g [21] (status=71) pt=19.19, eta=2.17, phi=1.40, mass=0.00
    g [21] (status=71) pt=40.00, eta=2.25, phi=1.38, mass=0.00
    g [21] (status=71) pt=3.51, eta=1.56, phi=1.48, mass=0.00

Event 4
g [21] (status=21) pt=0.00, eta=23488.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=52.88, eta=2.59, phi=-1.73, mass=125.00
    H0 [25] (status=44) pt=58.62, eta=2.51, phi=-1.45, mass=125.00
      H0 [25] (status=44) pt=58.12, eta=2.52, phi=-1.42, mass=125.00
        H0 [25] (status=44) pt=58.00, eta=2.52, phi=-1.36, mass=125.00
          H0 [25] (status=44) pt=57.75, eta=2.52, phi=-1.36, mass=125.00
            H0 [25] (status=62) pt=58.88, eta=2.50, phi=-1.34, mass=125.00
              35 [35] (status=22) pt=36.00, eta=2.55, phi=-1.43, mass=60.00
                gamma [22] (status=1) pt=39.50, eta=1.55, phi=-0.79, mass=0.00
                gamma [22] (status=1) pt=23.94, eta=2.48, phi=-2.82, mass=0.00
              35 [35] (status=22) pt=23.25, eta=2.40, phi=-1.20, mass=60.00
                b [5] (status=23) pt=24.00, eta=1.55, phi=0.77, mass=0.00
                  B*+ [523] (status=2) pt=35.25, eta=1.37, phi=-1.80, mass=5.33
                    B+ [521] (status=2) pt=35.00, eta=1.37, phi=-1.80, mass=5.28
                      D~0 [-421] (status=2) pt=27.56, eta=1.39, phi=-1.85, mass=0.00
                        pi0 [111] (status=2) pt=12.66, eta=1.41, phi=-1.85, mass=0.00
                          gamma [22] (status=1) pt=10.44, eta=1.41, phi=-1.85, mass=0.00
                  b [5] (status=71) pt=18.94, eta=1.66, phi=0.73, mass=0.00
                  B- [-521] (status=2) pt=16.12, eta=1.65, phi=0.77, mass=5.28
                    D0 [421] (status=2) pt=4.59, eta=1.58, phi=0.79, mass=0.00
                b~ [-5] (status=23) pt=39.38, eta=1.37, phi=-1.79, mass=0.00
                  b~ [-5] (status=71) pt=36.00, eta=1.37, phi=-1.80, mass=0.00
  g [21] (status=23) pt=52.88, eta=2.57, phi=1.41, mass=0.00
    g [21] (status=71) pt=3.32, eta=2.08, phi=-1.15, mass=0.00
    g [21] (status=71) pt=10.47, eta=1.97, phi=-0.99, mass=0.00
    g [21] (status=71) pt=2.53, eta=1.52, phi=-1.23, mass=0.00
    g [21] (status=71) pt=1.48, eta=1.57, phi=0.98, mass=0.00
    g [21] (status=71) pt=2.20, eta=2.16, phi=1.64, mass=0.00
    g [21] (status=71) pt=19.19, eta=2.17, phi=1.40, mass=0.00
    g [21] (status=71) pt=40.00, eta=2.25, phi=1.38, mass=0.00
    g [21] (status=71) pt=3.51, eta=1.56, phi=1.48, mass=0.00

Event 5
g [21] (status=21) pt=0.00, eta=23296.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=40.62, phi=0.79, mass=125.00
    H0 [25] (status=44) pt=25.12, eta=3.67, phi=-2.02, mass=125.00
      H0 [25] (status=44) pt=22.31, eta=3.82, phi=-2.14, mass=125.00
        H0 [25] (status=44) pt=18.94, eta=4.02, phi=-2.12, mass=125.00
          H0 [25] (status=44) pt=19.88, eta=3.97, phi=-1.96, mass=125.00
            H0 [25] (status=44) pt=19.94, eta=3.97, phi=-1.99, mass=125.00
              H0 [25] (status=62) pt=18.06, eta=4.06, phi=-1.94, mass=125.00
                35 [35] (status=22) pt=3.15, eta=4.86, phi=1.31, mass=60.00
                  gamma [22] (status=1) pt=22.00, eta=1.05, phi=1.78, mass=0.00
                  gamma [22] (status=1) pt=19.25, eta=2.90, phi=-1.29, mass=0.00
                35 [35] (status=22) pt=21.19, eta=3.42, phi=-1.93, mass=60.00
                  b [5] (status=23) pt=23.94, eta=2.66, phi=2.45, mass=0.00
                    b [5] (status=71) pt=4.12, eta=2.91, phi=1.48, mass=0.00
                    B*- [-523] (status=2) pt=3.84, eta=3.04, phi=1.71, mass=5.33
                      B- [-521] (status=2) pt=3.80, eta=3.05, phi=1.70, mass=5.28
                        D0 [421] (status=2) pt=1.88, eta=2.65, phi=0.63, mass=0.00
                    B+ [521] (status=2) pt=7.39, eta=3.40, phi=0.45, mass=5.28
                      J/psi(1S) [443] (status=2) pt=4.73, eta=3.55, phi=0.53, mass=3.09
                      pi0 [111] (status=2) pt=0.67, eta=2.01, phi=0.13, mass=0.00
                        e- [11] (status=1) pt=0.03, eta=1.99, phi=0.43, mass=0.00
                        e+ [-11] (status=1) pt=0.20, eta=1.98, phi=0.41, mass=0.00
                  b~ [-5] (status=23) pt=36.88, eta=2.13, phi=-1.27, mass=0.00
                    g [21] (status=71) pt=25.25, eta=1.82, phi=-1.88, mass=0.00
                    b~ [-5] (status=71) pt=9.94, eta=3.37, phi=0.41, mass=0.00

Event 5
g [21] (status=21) pt=0.00, eta=23296.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=40.62, phi=0.79, mass=125.00
    H0 [25] (status=44) pt=25.12, eta=3.67, phi=-2.02, mass=125.00
      H0 [25] (status=44) pt=22.31, eta=3.82, phi=-2.14, mass=125.00
        H0 [25] (status=44) pt=18.94, eta=4.02, phi=-2.12, mass=125.00
          H0 [25] (status=44) pt=19.88, eta=3.97, phi=-1.96, mass=125.00
            H0 [25] (status=44) pt=19.94, eta=3.97, phi=-1.99, mass=125.00
              H0 [25] (status=62) pt=18.06, eta=4.06, phi=-1.94, mass=125.00
                35 [35] (status=22) pt=3.15, eta=4.86, phi=1.31, mass=60.00
                  gamma [22] (status=1) pt=22.00, eta=1.05, phi=1.78, mass=0.00
                  gamma [22] (status=1) pt=19.25, eta=2.90, phi=-1.29, mass=0.00
                35 [35] (status=22) pt=21.19, eta=3.42, phi=-1.93, mass=60.00
                  b [5] (status=23) pt=23.94, eta=2.66, phi=2.45, mass=0.00
                    b [5] (status=71) pt=4.12, eta=2.91, phi=1.48, mass=0.00
                    B*- [-523] (status=2) pt=3.84, eta=3.04, phi=1.71, mass=5.33
                      B- [-521] (status=2) pt=3.80, eta=3.05, phi=1.70, mass=5.28
                        D0 [421] (status=2) pt=1.88, eta=2.65, phi=0.63, mass=0.00
                    B+ [521] (status=2) pt=7.39, eta=3.40, phi=0.45, mass=5.28
                      J/psi(1S) [443] (status=2) pt=4.73, eta=3.55, phi=0.53, mass=3.09
                      pi0 [111] (status=2) pt=0.67, eta=2.01, phi=0.13, mass=0.00
                        e- [11] (status=1) pt=0.03, eta=1.99, phi=0.43, mass=0.00
                        e+ [-11] (status=1) pt=0.20, eta=1.98, phi=0.41, mass=0.00
                  b~ [-5] (status=23) pt=36.88, eta=2.13, phi=-1.27, mass=0.00
                    g [21] (status=71) pt=25.25, eta=1.82, phi=-1.88, mass=0.00
                    b~ [-5] (status=71) pt=9.94, eta=3.37, phi=0.41, mass=0.00

Event 6
g [21] (status=21) pt=0.00, eta=22912.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=39.25, phi=1.57, mass=125.00
    H0 [25] (status=44) pt=23.06, eta=2.27, phi=-0.41, mass=125.00
      H0 [25] (status=44) pt=17.94, eta=2.49, phi=-0.34, mass=125.00
        H0 [25] (status=44) pt=17.81, eta=2.50, phi=-0.30, mass=125.00
          H0 [25] (status=62) pt=16.88, eta=2.55, phi=-0.30, mass=125.00
            35 [35] (status=22) pt=18.38, eta=1.51, phi=-1.00, mass=60.00
              gamma [22] (status=1) pt=30.31, eta=0.27, phi=0.20, mass=0.00
              gamma [22] (status=1) pt=29.25, eta=0.92, phi=-2.31, mass=0.00
            35 [35] (status=22) pt=12.12, eta=2.44, phi=1.03, mass=60.00
