# File used : root://xrootd-cms.infn.it//store/mc/RunIISummer20UL18NanoAODv9/WHToAA_AToBB_AToGG_M-20_TuneCP5_13TeV_madgraph_pythia8/NANOAODSIM/106X_upgrade2018_realistic_v16_L1v1-v1/2530000/FB6A4557-3B3E-5E4A-900D-45A77C107EA2.root


Event Number : 0
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
   2     24      22        4481                  0   3.8672  79.250  -2.3438  52.250
   3     25      22        4481                  0   4.2188 125.000   0.7969  52.250
   4     24      44         257                  2   3.8594  79.250  -2.3672  52.875
   5     25      44         257                  3   4.2344 125.000   0.8262  51.375
   6     24      44       16641                  4   3.8594  79.250  -2.3672  53.375
   7     25      44         257                  5   4.2500 125.000   0.8281  50.750
   8     24      51         257                  6   3.8594  79.250  -2.3672  53.375
   9     24      62       10497                  8   3.8516  79.250  -2.3594  53.625
  10     25      62       10497                  7   4.2500 125.000   0.8223  50.250
  11     22       1        8193                  6   2.4609   0.000  -1.8164   0.037
  12    -11       1       12673                  9   3.1875   0.000  -3.1094  55.375
  13     12       1       12673                  9   3.4062   0.000  -1.1250  39.750
  14     35      22       14721                 10   3.4375  20.000   0.9883  86.750
  15     35      22       31105                 10   3.0859  20.000  -1.9297  38.000
  16      5      23       12673                 14   3.2969   0.000   1.1094  51.125
  17     -5      23       12673                 14   3.5859   0.000   0.8203  36.375
  18     22       1       12673                 15   3.1953   0.000  -1.6797  27.438
  19     22       1       12673                 15   2.5000   0.000  -2.4688  13.250
  20   -513       2       28675                 16   3.3047   5.328   1.0938  45.000
  21    533       2       28675                 16   3.5781   5.422   0.8340  35.125
  22   -511       2       12354                 20   3.3047   5.281   1.0938  44.375
  23    531       2       12354                 21   3.5781   5.359   0.8340  35.125
  24    411       2       12354                 22   3.2500   0.000   1.1953  12.281
  25    111       2       28738                 22   3.3359   0.000   1.0273  15.531
  26    421       2       12354                 23   3.5859   0.000   0.7871  16.625
  27     22       1       12352                 25   3.3359   0.000   1.0234  13.406

Event Number : 7
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -3      21       10625                 -1 22784.0000   0.000   0.0000   0.000
   1      2      21       10625                 -1 -23040.0000   0.000   0.0000   0.000
   2     24      22        4481                  0  -0.9707  76.750   0.2109  69.000
   3     25      22        4481                  0  -1.7070 125.000  -2.9297  69.000
   4     24      44         257                  2  -0.9531  76.750   0.2153  71.000
   5     25      44         257                  3  -1.6992 125.000  -2.9375  67.250
   6     24      44         257                  4  -0.9512  76.750   0.2241  71.250
   7     25      44         257                  5  -1.7109 125.000  -2.9531  66.750
   8     24      62       10497                  6  -0.9551  76.750   0.2344  69.750
   9     25      62       10497                  7  -1.6875 125.000  -2.9609  68.750
  10    -11      23       22913                  8  -1.5703   0.000   2.6250  14.906
  11     12      23        4481                  8  -0.5059   0.000   0.1084  81.250
  12    -11       1        8449                 10  -1.5703   0.000   2.6250  14.906
  13     22       1       12289                 10  -1.5703   0.000   2.6250   0.001
  14     12       1        8449                 11  -0.5059   0.000   0.1084  81.250
  15     35      22       14721                  9  -1.1133  20.000  -1.8594  66.250
  16     35      22       31105                  9  -1.0586  20.000   2.3281  70.750
  17      5      23        4481                 15  -1.3398   0.000  -1.8789  34.125
  18     -5      23       22913                 15  -0.8164   0.000  -1.8359  32.125
  19      5      52        8449                 17  -1.2930   0.000  -1.8750  22.062
  20     -5      52        8449                 18  -0.9746   0.000  -1.8008  40.125
  21     22       1       12673                 16  -1.2227   0.000   2.1406  36.625
  22     22       1       12673                 16  -0.8301   0.000   2.5312  35.375
  23   -523       2       28675                 18  -1.2969   5.328  -1.8867  18.812
  24    523       2       28675                 18  -0.9727   5.328  -1.7812  37.375
  25   -421       2       12291                 -1   1.6875   0.000  -1.9258   6.828
  26    421       2       12291                 -1  -1.6914   0.000   0.6074   3.172
  27      1      71        8193                 -1   3.7734   0.000   0.9004   0.975
  28     -1      71        8193                 -1  -6.8125   0.000  -0.8164   1.449
  29   -521       2       12354                 23  -1.2969   5.281  -1.8867  18.812
  30    521       2       12354                 24  -0.9727   5.281  -1.7812  36.875
  31   -431       2       12354                 29  -1.3477   1.969  -1.7539   5.625
  32    411       2       12354                 29  -1.2852   0.000  -1.8750  10.656
  33     12       1       12352                 30  -0.8965   0.000  -1.6992  15.000
  34    -11       1       12352                 30  -1.0742   0.000  -1.7109   5.625
  35     11       1       12352                 27  -1.1406   0.000   1.7617   0.029
  36    -11       1       12352                 27  -1.1016   0.000   1.8086   0.235
  37   -421       2       12354                 30  -1.0117   0.000  -1.8945  11.625

Event Number : 8
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 24192.0000   0.000   0.0000   0.000
   1     -1      21       10625                 -1 -22784.0000   0.000   0.0000   0.000
   2     24      22        4481                  0   3.5234  80.250  -2.1406  30.562
   3     25      22        4481                  0   4.0625 125.000   0.9980  30.562
   4     24      44         257                  2   3.3516  80.250  -2.0781  40.250
   5     25      44         257                  3   4.9062 125.000   0.7031  14.656
   6     24      44         257                  4   3.1953  80.250  -2.1406  51.875
   7     25      44         257                  5   7.0625 125.000  -0.1758   1.625
   8     24      44         257                  6   3.1953  80.250  -2.1562  51.625
   9     25      44         257                  7   7.3906 125.000   0.4658   1.164
  10     24      44         257                  8   3.1953  80.250  -2.1562  51.500
  11     25      44         257                  9   7.2969 125.000   0.4297   1.281
  12     24      62       10497                 10   3.1875  80.250  -2.1328  51.750
  13     25      62       10497                 11   6.6094 125.000  -0.3076   2.547
  14    -13      23       22913                 12   1.7344   0.000  -2.7031  36.500
  15     14      23        4481                 12   3.6016   0.000  -1.3828  28.812
  16    -13       1        8449                 14   1.7344   0.000  -2.7031  36.500
  17     22       1       12289                 14   1.7148   0.000   2.8516   0.000
  18     14       1        8449                 15   3.6016   0.000  -1.3828  28.812
  19     35      22       14721                 13   4.8906  20.000   1.4727  13.719
  20     35      22       31105                 13   1.6016  19.938  -1.4961  14.469
  21      5      23       22913                 19   4.7188   0.000   0.8672  12.438
  22     -5      23        4481                 19   3.9922   0.000   2.5859   7.875
  23      5      51        8449                 21   4.7344   0.000   0.8086  11.469
  24     -5      52        8449                 22   4.0312   0.000   2.5703   7.375
  25     22       1       12673                 20   1.6797   0.000  -1.8203  13.594
  26     22       1       12673                 20  -0.1567   0.000  -0.2754   4.594
  27   -513       2       28675                 21   4.7188   5.328   0.8594  10.375
  28    521       2       12291                 21   4.0938   5.281   2.4688   7.688
  29      1      71        8193                 -1   0.6973   0.000   0.8477  27.750
  30     21      71        8193                 -1  -2.4531   0.000  -0.3652  15.969
  31   -511       2       12354                 27   4.7188   5.281   0.8613  10.312
  32    423       2       28738                 28   4.1250   2.008   2.3984   4.766
  33   -421       2       12354                 28   3.9609   0.000   2.5781   2.938
  34    411       2       12354                 31   4.3281   0.000   0.9668   3.383
  35    421       2       12354                 32   4.1406   0.000   2.4297   4.219

Event Number : 9
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
