# File used : 86D3D6A3-EE02-5849-8FC0-C89B9BE7D930.root


Event Number : 8
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
  40   -413       2       12354                 32  -0.3574   2.008  -2.9453 10.28125
  41     11       1       12352                 10   1.4297   0.000   1.2578 0.31152
  42    -11       1       12352                 10   1.7969   0.000   0.9902 0.04993
  43   -421       2       12354                 35   0.2314   0.000   2.2500 1.33203
  44     22       1       12352                 38  -2.5156   0.000  -3.0938 14.34375
  45   4212       2       12354                 39  -0.9219   2.453   1.2188 10.71875
  46   -421       2       12354                 40  -0.3613   0.000  -2.9453 9.56250
  47   4122       2       12354                 45  -0.9219   2.289   1.2266 9.87500

Event Number : 149
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 24640.0000   0.000   0.0000 0.00000
   1     -1      21       14721                 -1 -22784.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0   3.5312  76.750  -1.0352 61.37500
   3     25      22        4481                  0   3.2734 125.000   2.1094 61.37500
   4     24      44         257                  2   3.5312  76.750  -1.0977 48.37500
   5     25      44         257                  3   3.0078 125.000   2.1875 95.25000
   6     24      44         257                  4   3.5312  76.750  -0.9648 45.75000
   7     25      44         257                  5   2.9609 125.000   2.0234 102.00000
   8     24      44         257                  6   3.5391  76.750  -0.9590 45.12500
   9     25      44         257                  7   2.9609 125.000   2.0234 103.75000
  10     24      44         257                  8   3.5156  76.750  -0.9609 46.25000
  11     25      44         257                  9   2.9766 125.000   2.0234 102.25000
  12     24      62       10497                 10   3.5156  76.750  -0.9707 46.25000
  13     25      62       10497                 11   2.9766 125.000   2.0234 102.25000
  14    -13       1       12673                 12   1.8789   0.000   3.0469 17.87500
  15     14       1       12673                 12   3.1875   0.000  -0.7363 59.25000
  16     35      22       14721                 13   3.6719  40.000   1.6445 35.75000
  17     35      22       31105                 13   2.1328  40.000   2.2109 70.25000
  18      5      23        4481                 16   3.8828   0.000   1.2656 25.50000
  19     -5      23       22913                 16   2.4141   0.000   2.3125 15.34375
  20     22      23       22913                 17   1.3594   0.000   2.4844 26.50000
  21     22      23       12673                 17   2.3906   0.000   2.0625 45.25000
  22     22       1        8449                 20   1.3594   0.000   2.4844 26.43750
  23     22       1       12289                 21   2.3516   0.000   2.0312 0.17285
  24     11       1        8193                 21   2.4062   0.000   2.0781 29.87500
  25     22       1       12289                 21   2.4062   0.000   2.0781 3.81250
  26    -11       1        8193                 21   2.3516   0.000   2.0156 11.43750
  27      5      73         257                 18   3.8750   0.000   1.2695 21.81250
  28      5      71        8449                 27   3.8750   0.000   1.2695 21.81250
  29     -5      71        8449                 19   2.3828   0.000   2.4922 7.31250
  30   -523       2       28675                 19   3.8828   5.328   1.3008 19.18750
